setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,variant,sexe,grup_edat,index_socioeconomic,recompte
37,2022,12/09/2022,18/09/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Home,60 a 64,3,1
33,2021,16/08/2021,22/08/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,50 a 54,2,1
16,2021,19/04/2021,25/04/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Altres,Home,45 a 49,3,1
34,2021,23/08/2021,29/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,35 a 39,1,2
30,2021,26/07/2021,01/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,30 a 34,1,1
38,2021,20/09/2021,26/09/2021,70,Penedès,70,Penedès,Delta (B.1.617.2),Home,50 a 54,3,1
28,2021,12/07/2021,18/07/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,50 a 54,4,6
9,2022,28/02/2022,06/03/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,25 a 29,2,1
1,2022,03/01/2022,09/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Home,80 o més,3,4
16,2023,17/04/2023,23/04/2023,61,Lleida,61,Lleida,Omicron (XBB.1),Dona,70 a 74,3,2
48,2021,29/11/2021,05/12/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Home,65 a 69,4,1
40,2021,04/10/2021,10/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,65 a 69,3,1
15,2021,12/04/2021,18/04/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Home,20 a 24,3,2
39,2021,27/09/2021,03/10/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,60 a 64,3,1
46,2022,14/11/2022,20/11/2022,67,Catalunya Central,67,Catalunya Central,Omicron (BQ.1),Dona,75 a 79,3,1
8,2022,21/02/2022,27/02/2022,64,Girona,64,Girona,Omicron (BA.1),Dona,45 a 49,3,2
42,2021,18/10/2021,24/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,70 a 74,1,1
11,2021,15/03/2021,21/03/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,50 a 54,1,1
36,2023,04/09/2023,10/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Home,60 a 64,3,1
38,2023,18/09/2023,24/09/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Dona,60 a 64,3,1
47,2022,21/11/2022,27/11/2022,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BQ.1),Dona,75 a 79,2,1
15,2021,12/04/2021,18/04/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Gamma (P.1),Dona,25 a 29,1,1
51,2021,20/12/2021,26/12/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,30 a 34,1,1
40,2022,03/10/2022,09/10/2022,61,Lleida,61,Lleida,Omicron (BQ.1),Dona,30 a 34,3,1
8,2023,20/02/2023,26/02/2023,61,Lleida,61,Lleida,Omicron (XBB.1),Dona,60 a 64,2,1
12,2022,21/03/2022,27/03/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Home,40 a 44,2,1
51,2021,20/12/2021,26/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Dona,20 a 24,2,2
4,2021,25/01/2021,31/01/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Altres,Dona,10 a 14,3,1
41,2022,10/10/2022,16/10/2022,64,Girona,64,Girona,Omicron (BA.2),Dona,55 a 59,3,1
4,2022,24/01/2022,30/01/2022,64,Girona,64,Girona,Omicron (BA.1),Dona,0,4,1
18,2022,02/05/2022,08/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,60 a 64,1,1
44,2021,01/11/2021,07/11/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,45 a 49,3,1
27,2021,05/07/2021,11/07/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Dona,60 a 64,4,1
33,2021,16/08/2021,22/08/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Dona,45 a 49,3,1
28,2021,12/07/2021,18/07/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,5 a 9,2,1
23,2022,06/06/2022,12/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,55 a 59,4,1
40,2022,03/10/2022,09/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BQ.1),Home,25 a 29,3,1
4,2022,24/01/2022,30/01/2022,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BA.1),Dona,40 a 44,2,1
18,2021,03/05/2021,09/05/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,25 a 29,4,1
33,2023,14/08/2023,20/08/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Eris (EG.5),Dona,55 a 59,4,1
4,2022,24/01/2022,30/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Dona,30 a 34,3,1
50,2022,12/12/2022,18/12/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BQ.1),Dona,25 a 29,3,2
4,2021,25/01/2021,31/01/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,B.1.177,Dona,3 i 4,2,1
32,2022,08/08/2022,14/08/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Omicron (BA.5),Home,25 a 29,3,1
47,2022,21/11/2022,27/11/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BQ.1),Home,40 a 44,4,1
5,2022,31/01/2022,06/02/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Home,10 a 14,3,1
22,2021,31/05/2021,06/06/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,30 a 34,4,1
28,2021,12/07/2021,18/07/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,35 a 39,3,1
1,2022,03/01/2022,09/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Dona,25 a 29,3,2
8,2023,20/02/2023,26/02/2023,67,Catalunya Central,67,Catalunya Central,Omicron (BQ.1),Home,80 o més,4,2
11,2022,14/03/2022,20/03/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Home,75 a 79,1,1
30,2022,25/07/2022,31/07/2022,64,Girona,64,Girona,Omicron (BA.5),Home,10 a 14,3,1
25,2022,20/06/2022,26/06/2022,64,Girona,64,Girona,Omicron (BA.5),Dona,30 a 34,4,1
9,2022,28/02/2022,06/03/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Home,15 a 19,4,1
35,2021,30/08/2021,05/09/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,80 o més,4,1
50,2021,13/12/2021,19/12/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,45 a 49,4,1
38,2021,20/09/2021,26/09/2021,62,Camp de Tarragona,62,Camp de Tarragona,Alpha (B.1.1.7),Dona,40 a 44,3,1
18,2021,03/05/2021,09/05/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Mu (B.1.621),Home,45 a 49,4,1
18,2021,03/05/2021,09/05/2021,67,Catalunya Central,67,Catalunya Central,Alpha (B.1.1.7),Dona,5 a 9,2,2
32,2023,07/08/2023,13/08/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Omicron (XBB.1),Home,80 o més,4,1
47,2021,22/11/2021,28/11/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,1 i 2,2,1
28,2021,12/07/2021,18/07/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Dona,35 a 39,4,1
17,2022,25/04/2022,01/05/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Dona,60 a 64,2,1
7,2021,15/02/2021,21/02/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Altres,Dona,70 a 74,4,1
23,2021,07/06/2021,13/06/2021,61,Lleida,61,Lleida,Gamma (P.1),Home,55 a 59,3,2
25,2022,20/06/2022,26/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.5),Dona,55 a 59,2,2
22,2021,31/05/2021,06/06/2021,64,Girona,64,Girona,Altres,Home,20 a 24,4,1
2,2023,09/01/2023,15/01/2023,64,Girona,64,Girona,Omicron (BQ.1),Dona,80 o més,4,1
32,2023,07/08/2023,13/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Dona,75 a 79,3,1
18,2022,02/05/2022,08/05/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Dona,20 a 24,3,1
25,2021,21/06/2021,27/06/2021,63,Terres de l'Ebre,63,Terres de l'Ebre,Delta (B.1.617.2),Home,15 a 19,4,1
50,2021,13/12/2021,19/12/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,75 a 79,4,2
24,2021,14/06/2021,20/06/2021,67,Catalunya Central,67,Catalunya Central,Alpha (B.1.1.7),Dona,25 a 29,2,1
41,2022,10/10/2022,16/10/2022,64,Girona,64,Girona,Omicron (BA.5),Dona,65 a 69,4,1
6,2022,07/02/2022,13/02/2022,64,Girona,64,Girona,Omicron (BA.2),Home,5 a 9,4,1
16,2021,19/04/2021,25/04/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Home,30 a 34,3,2
46,2022,14/11/2022,20/11/2022,62,Camp de Tarragona,62,Camp de Tarragona,Omicron (BQ.1),Home,45 a 49,3,1
28,2022,11/07/2022,17/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Dona,35 a 39,3,1
51,2021,20/12/2021,26/12/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,1 i 2,3,1
40,2021,04/10/2021,10/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,55 a 59,3,1
19,2021,10/05/2021,16/05/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,10 a 14,4,1
36,2021,06/09/2021,12/09/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,20 a 24,3,1
29,2021,19/07/2021,25/07/2021,61,Lleida,61,Lleida,Delta (B.1.617.2),Dona,45 a 49,3,1
36,2021,06/09/2021,12/09/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,45 a 49,3,2
11,2022,14/03/2022,20/03/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,25 a 29,1,1
27,2021,05/07/2021,11/07/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,60 a 64,4,3
23,2021,07/06/2021,13/06/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Mu (B.1.621),Home,45 a 49,3,1
44,2022,31/10/2022,06/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.4),Dona,50 a 54,2,1
52,2021,27/12/2021,02/01/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,25 a 29,3,1
50,2021,13/12/2021,19/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,10 a 14,3,5
31,2021,02/08/2021,08/08/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,50 a 54,2,1
20,2021,17/05/2021,23/05/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,B.1,Dona,80 o més,1,1
22,2021,31/05/2021,06/06/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,35 a 39,3,3
16,2022,18/04/2022,24/04/2022,61,Lleida,61,Lleida,Omicron (BA.2),Dona,40 a 44,2,1
45,2021,08/11/2021,14/11/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,60 a 64,4,1
21,2021,24/05/2021,30/05/2021,67,Catalunya Central,67,Catalunya Central,Altres,Dona,50 a 54,3,1
5,2021,01/02/2021,07/02/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,10 a 14,3,1
31,2023,31/07/2023,06/08/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Altres,Dona,80 o més,3,1
2,2022,10/01/2022,16/01/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Home,75 a 79,2,1
44,2022,31/10/2022,06/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BQ.1),Home,80 o més,1,2
17,2022,25/04/2022,01/05/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,40 a 44,3,1
28,2023,10/07/2023,16/07/2023,61,Lleida,61,Lleida,Omicron (XBB.1),Dona,45 a 49,4,1
20,2023,15/05/2023,21/05/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (XBB.1),Home,80 o més,3,2
35,2021,30/08/2021,05/09/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Home,65 a 69,4,4
20,2021,17/05/2021,23/05/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Home,45 a 49,2,1
46,2022,14/11/2022,20/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BQ.1),Dona,20 a 24,2,1
34,2022,22/08/2022,28/08/2022,64,Girona,64,Girona,Omicron (BA.5),Home,45 a 49,3,1
27,2021,05/07/2021,11/07/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Dona,20 a 24,4,1
1,2022,03/01/2022,09/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Dona,45 a 49,3,1
49,2021,06/12/2021,12/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,5 a 9,4,1
8,2023,20/02/2023,26/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Dona,75 a 79,4,1
18,2022,02/05/2022,08/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.4),Dona,65 a 69,2,1
6,2022,07/02/2022,13/02/2022,61,Lleida,61,Lleida,Omicron (BA.1),Home,60 a 64,4,1
30,2022,25/07/2022,31/07/2022,61,Lleida,61,Lleida,Omicron (BA.5),Dona,30 a 34,3,2
22,2021,31/05/2021,06/06/2021,61,Lleida,61,Lleida,Alpha (B.1.1.7),Home,15 a 19,3,1
36,2021,06/09/2021,12/09/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,30 a 34,2,1
1,2022,03/01/2022,09/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Home,40 a 44,2,2
46,2021,15/11/2021,21/11/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Home,45 a 49,3,1
49,2021,06/12/2021,12/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,1 i 2,3,2
21,2021,24/05/2021,30/05/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,40 a 44,3,1
50,2021,13/12/2021,19/12/2021,61,Lleida,61,Lleida,Delta (B.1.617.2),Dona,75 a 79,4,1
15,2022,11/04/2022,17/04/2022,64,Girona,64,Girona,Omicron (BA.2),Dona,30 a 34,4,1
35,2021,30/08/2021,05/09/2021,64,Girona,64,Girona,Delta (B.1.617.2),Home,25 a 29,3,1
48,2021,29/11/2021,05/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,80 o més,3,3
1,2022,03/01/2022,09/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Dona,10 a 14,3,1
14,2023,03/04/2023,09/04/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Home,75 a 79,2,1
52,2021,27/12/2021,02/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Dona,80 o més,4,1
33,2023,14/08/2023,20/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Eris (EG.5),Dona,80 o més,3,1
5,2021,01/02/2021,07/02/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Dona,25 a 29,4,1
42,2022,17/10/2022,23/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Dona,45 a 49,2,1
4,2022,24/01/2022,30/01/2022,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,30 a 34,3,1
10,2022,07/03/2022,13/03/2022,64,Girona,64,Girona,Altres,Home,25 a 29,3,1
33,2021,16/08/2021,22/08/2021,64,Girona,64,Girona,Delta (B.1.617.2),Home,60 a 64,3,1
20,2022,16/05/2022,22/05/2022,61,Lleida,61,Lleida,Omicron (BA.2),Home,10 a 14,4,1
15,2022,11/04/2022,17/04/2022,64,Girona,64,Girona,Omicron (BA.2),Home,80 o més,3,2
4,2022,24/01/2022,30/01/2022,70,Penedès,70,Penedès,Omicron (BA.1),Dona,75 a 79,3,1
25,2022,20/06/2022,26/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,55 a 59,3,1
18,2022,02/05/2022,08/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,45 a 49,-1,1
27,2022,04/07/2022,10/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,80 o més,2,3
30,2022,25/07/2022,31/07/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.5),Dona,80 o més,2,12
5,2022,31/01/2022,06/02/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,50 a 54,4,2
31,2022,01/08/2022,07/08/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.2),Dona,35 a 39,3,1
26,2021,28/06/2021,04/07/2021,67,Catalunya Central,67,Catalunya Central,Alpha (B.1.1.7),Dona,35 a 39,2,1
40,2022,03/10/2022,09/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.5),Dona,30 a 34,2,1
10,2022,07/03/2022,13/03/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (BA.1),Home,70 a 74,3,2
44,2021,01/11/2021,07/11/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,20 a 24,3,3
31,2023,31/07/2023,06/08/2023,00,No disponible,00,No disponible,Omicron (XBB.1),No disponible,No disponible,-1,3
1,2022,03/01/2022,09/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Dona,40 a 44,3,4
16,2023,17/04/2023,23/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Home,80 o més,3,3
27,2021,05/07/2021,11/07/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Dona,20 a 24,2,2
17,2021,26/04/2021,02/05/2021,64,Girona,64,Girona,Altres,Dona,40 a 44,4,1
38,2021,20/09/2021,26/09/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,20 a 24,4,2
45,2021,08/11/2021,14/11/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,15 a 19,3,3
51,2021,20/12/2021,26/12/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,20 a 24,3,1
48,2021,29/11/2021,05/12/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,15 a 19,2,1
32,2021,09/08/2021,15/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,40 a 44,2,1
11,2022,14/03/2022,20/03/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.2),Dona,45 a 49,4,1
50,2021,13/12/2021,19/12/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,5 a 9,4,1
24,2022,13/06/2022,19/06/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.2),Dona,50 a 54,3,3
50,2021,13/12/2021,19/12/2021,64,Girona,64,Girona,Delta (B.1.617.2),Home,50 a 54,4,2
21,2021,24/05/2021,30/05/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,5 a 9,4,2
27,2021,05/07/2021,11/07/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,45 a 49,2,5
42,2021,18/10/2021,24/10/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,70 a 74,3,5
40,2021,04/10/2021,10/10/2021,70,Penedès,70,Penedès,Delta (B.1.617.2),Home,3 i 4,3,1
38,2021,20/09/2021,26/09/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,45 a 49,2,1
4,2021,25/01/2021,31/01/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,B.1,Home,50 a 54,4,1
1,2022,03/01/2022,09/01/2022,64,Girona,64,Girona,Omicron (BA.1),Dona,20 a 24,3,2
24,2023,12/06/2023,18/06/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Home,80 o més,2,1
31,2023,31/07/2023,06/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Omicron (XBB.1),Home,60 a 64,3,2
34,2021,23/08/2021,29/08/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,75 a 79,4,2
1,2022,03/01/2022,09/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,70 a 74,4,1
24,2021,14/06/2021,20/06/2021,64,Girona,64,Girona,Altres,Dona,20 a 24,3,1
51,2021,20/12/2021,26/12/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,50 a 54,4,1
26,2021,28/06/2021,04/07/2021,62,Camp de Tarragona,62,Camp de Tarragona,Delta (B.1.617.2),Dona,50 a 54,3,1
17,2022,25/04/2022,01/05/2022,64,Girona,64,Girona,Omicron (BA.2),Dona,65 a 69,3,1
48,2022,28/11/2022,04/12/2022,64,Girona,64,Girona,Omicron (BQ.1),Dona,60 a 64,4,1
47,2022,21/11/2022,27/11/2022,61,Lleida,61,Lleida,Omicron (BQ.1),Home,0,3,2
48,2021,29/11/2021,05/12/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,50 a 54,2,1
37,2021,13/09/2021,19/09/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,15 a 19,4,2
49,2021,06/12/2021,12/12/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Home,10 a 14,2,4
37,2022,12/09/2022,18/09/2022,70,Penedès,70,Penedès,Omicron (BA.5),Home,25 a 29,3,1
26,2022,27/06/2022,03/07/2022,64,Girona,64,Girona,Omicron (BA.5),Home,20 a 24,3,2
8,2021,22/02/2021,28/02/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Alpha (B.1.1.7),Home,30 a 34,3,2
38,2021,20/09/2021,26/09/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Delta (B.1.617.2),Dona,15 a 19,2,1
39,2022,26/09/2022,02/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.5),Home,65 a 69,3,1
26,2023,26/06/2023,02/07/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (XBB.1),Home,75 a 79,3,1
4,2022,24/01/2022,30/01/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Omicron (BA.1),Home,75 a 79,2,5
52,2022,26/12/2022,01/01/2023,70,Penedès,70,Penedès,Omicron (BA.2),Home,60 a 64,3,1
33,2021,16/08/2021,22/08/2021,64,Girona,64,Girona,Delta (B.1.617.2),Dona,80 o més,2,2
17,2022,25/04/2022,01/05/2022,61,Lleida,61,Lleida,Omicron (BA.2),Dona,80 o més,2,1
47,2022,21/11/2022,27/11/2022,67,Catalunya Central,67,Catalunya Central,Omicron (BQ.1),Dona,75 a 79,4,1
51,2021,20/12/2021,26/12/2021,63,Terres de l'Ebre,63,Terres de l'Ebre,Omicron (BA.1),Home,35 a 39,3,1
10,2021,08/03/2021,14/03/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Dona,10 a 14,4,2
20,2021,17/05/2021,23/05/2021,00,No disponible,00,No disponible,Delta (B.1.617.2),No disponible,No disponible,-1,1
26,2021,28/06/2021,04/07/2021,67,Catalunya Central,67,Catalunya Central,Delta (B.1.617.2),Home,40 a 44,2,2
14,2021,05/04/2021,11/04/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Dona,60 a 64,4,1
6,2022,07/02/2022,13/02/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Omicron (BA.1),Dona,65 a 69,3,1
23,2021,07/06/2021,13/06/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Alpha (B.1.1.7),Dona,75 a 79,4,1
7,2021,15/02/2021,21/02/2021,64,Girona,64,Girona,Alpha (B.1.1.7),Dona,15 a 19,3,1
40,2021,04/10/2021,10/10/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,75 a 79,3,1
29,2021,19/07/2021,25/07/2021,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Delta (B.1.617.2),Dona,65 a 69,3,1
15,2021,12/04/2021,18/04/2021,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Alpha (B.1.1.7),Home,65 a 69,1,1
9,2021,01/03/2021,07/03/2021,67,Catalunya Central,67,Catalunya Central,Alpha (B.1.1.7),Home,45 a 49,3,1
31,2021,02/08/2021,08/08/2021,79,Barcelona Ciutat,79,Barcelona Ciutat,Delta (B.1.617.2),Dona,75 a 79,3,1
42,2022,17/10/2022,23/10/2022,00,No disponible,00,No disponible,Omicron (BA.4),No disponible,No disponible,-1,1
